,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_co2_e,EX_o2_e
212,EX_co2_e,0.0,0.0,,0.024726877742442758,25.228468479605233,,-1.1811070780399273,-7.793640846862965
213,EX_co2_e,0.0,0.0,,0.024726877742442657,25.228468479605123,,-1.1811070780399273,-7.437406440168256
214,EX_co2_e,0.0,0.0,,0.024726877742442362,25.228468479604814,,-1.1811070780399273,-7.081172033473546
215,EX_co2_e,0.0,0.0,,0.017476708758751475,17.83122805232282,,-1.1811070780399273,-6.7249376267788366
216,EX_co2_e,0.0,0.0,,0.0034658897077175575,3.5361961245456692,,-1.1811070780399273,-6.368703220084127
217,EX_co2_e,,,,,,,-1.1811070780399273,-6.012468813389417
218,EX_co2_e,,,,,,,-1.1811070780399273,-5.656234406694708
219,EX_co2_e,,,,,,,-1.1811070780399273,-5.299999999999998
220,EX_co2_e,,,,,,,-1.049872958257713,-12.06845372719948
221,EX_co2_e,,,,,,,-1.049872958257713,-11.71221932050477
222,EX_co2_e,,,,,,,-1.049872958257713,-11.35598491381006
223,EX_co2_e,,,,,,,-1.049872958257713,-10.999750507115351
224,EX_co2_e,,,,,,,-1.049872958257713,-10.64351610042064
225,EX_co2_e,,,,,,,-1.049872958257713,-10.287281693725932
226,EX_co2_e,0.0,1.3609229589999785e-26,,0.02197944688217153,25.228468479605453,,-1.049872958257713,-9.931047287031223
227,EX_co2_e,0.0,0.0,,0.02197944688217119,25.22846847960505,,-1.049872958257713,-9.574812880336513
228,EX_co2_e,0.0,0.0,,0.021979446882170028,25.228468479603716,,-1.049872958257713,-9.218578473641802
229,EX_co2_e,0.0,0.0,,0.02197944688217085,25.228468479604658,,-1.049872958257713,-8.862344066947093
230,EX_co2_e,0.0,0.0,,0.02197944688216989,25.228468479603556,,-1.049872958257713,-8.506109660252385
231,EX_co2_e,0.0,0.0,,0.02197944688217085,25.228468479604658,,-1.049872958257713,-8.149875253557674
232,EX_co2_e,0.0,0.0,,0.02197944688216975,25.228468479603404,,-1.049872958257713,-7.793640846862965
233,EX_co2_e,0.0,0.0,,0.021979446882171808,25.228468479605766,,-1.049872958257713,-7.437406440168256
234,EX_co2_e,0.0,0.0,,0.021979446882171672,25.22846847960561,,-1.049872958257713,-7.081172033473546
235,EX_co2_e,0.0,0.0,,0.0207926640970132,23.866254396238702,,-1.049872958257713,-6.7249376267788366
236,EX_co2_e,0.0,0.0,,0.008206760557655419,9.41989128108684,,-1.049872958257713,-6.368703220084127
237,EX_co2_e,,,,,,,-1.049872958257713,-6.012468813389417
238,EX_co2_e,,,,,,,-1.049872958257713,-5.656234406694708
239,EX_co2_e,,,,,,,-1.049872958257713,-5.299999999999998
240,EX_co2_e,,,,,,,-0.9186388384754989,-12.06845372719948
241,EX_co2_e,,,,,,,-0.9186388384754989,-11.71221932050477
242,EX_co2_e,,,,,,,-0.9186388384754989,-11.35598491381006
243,EX_co2_e,,,,,,,-0.9186388384754989,-10.999750507115351
244,EX_co2_e,,,,,,,-0.9186388384754989,-10.64351610042064
245,EX_co2_e,0.0,5.046296814023672e-27,,0.019232016021900798,25.228468479606377,,-0.9186388384754989,-10.287281693725932
246,EX_co2_e,0.0,0.0,,0.019232016021899365,25.228468479604494,,-0.9186388384754989,-9.931047287031223
247,EX_co2_e,0.0,0.0,,0.019232016021897804,25.22846847960246,,-0.9186388384754989,-9.574812880336513
248,EX_co2_e,0.0,0.0,,0.01923201602189971,25.22846847960493,,-0.9186388384754989,-9.218578473641802
249,EX_co2_e,0.0,0.0,,0.01923201602189797,25.22846847960267,,-0.9186388384754989,-8.862344066947093
250,EX_co2_e,0.0,0.0,,0.019232016021902047,25.22846847960802,,-0.9186388384754989,-8.506109660252385
251,EX_co2_e,0.0,0.0,,0.019232016021901957,25.2284684796079,,-0.9186388384754989,-8.149875253557674
252,EX_co2_e,0.0,0.0,,0.01923201602190188,25.22846847960781,,-0.9186388384754989,-7.793640846862965
253,EX_co2_e,0.0,0.0,,0.019232016021901846,25.22846847960775,,-0.9186388384754989,-7.437406440168256
254,EX_co2_e,0.0,0.0,,0.019232016021901208,25.228468479606914,,-0.9186388384754989,-7.081172033473546
255,EX_co2_e,0.0,0.0,,0.0192320160219017,25.22846847960756,,-0.9186388384754989,-6.7249376267788366
256,EX_co2_e,0.0,0.0,,0.012278542734495803,16.106934811200887,,-0.9186388384754989,-6.368703220084127
257,EX_co2_e,,,,,,,-0.9186388384754989,-6.012468813389417
258,EX_co2_e,,,,,,,-0.9186388384754989,-5.656234406694708
259,EX_co2_e,,,,,,,-0.9186388384754989,-5.299999999999998
260,EX_co2_e,,,,,,,-0.7874047186932849,-12.06845372719948
261,EX_co2_e,,,,,,,-0.7874047186932849,-11.71221932050477
262,EX_co2_e,,,,,,,-0.7874047186932849,-11.35598491381006
263,EX_co2_e,,,,,,,-0.7874047186932849,-10.999750507115351
264,EX_co2_e,0.0,6.274340630898172e-13,,0.016484585161630774,25.228468479608665,,-0.7874047186932849,-10.64351610042064
265,EX_co2_e,0.0,0.0,,0.0164845851616273,25.228468479603368,,-0.7874047186932849,-10.287281693725932
266,EX_co2_e,0.0,0.0,,0.01648458516162728,25.228468479603336,,-0.7874047186932849,-9.931047287031223
267,EX_co2_e,0.0,0.0,,0.01648458516162722,25.22846847960325,,-0.7874047186932849,-9.574812880336513
268,EX_co2_e,0.0,0.0,,0.01648458516162739,25.228468479603503,,-0.7874047186932849,-9.218578473641802
269,EX_co2_e,0.0,0.0,,0.01648458516162838,25.22846847960501,,-0.7874047186932849,-8.862344066947093
270,EX_co2_e,0.0,0.0,,0.01648458516162832,25.22846847960492,,-0.7874047186932849,-8.506109660252385
271,EX_co2_e,0.0,0.0,,0.016484585161628255,25.22846847960482,,-0.7874047186932849,-8.149875253557674
272,EX_co2_e,0.0,0.0,,0.016484585161628207,25.228468479604746,,-0.7874047186932849,-7.793640846862965
273,EX_co2_e,0.0,0.0,,0.016484585161628255,25.22846847960482,,-0.7874047186932849,-7.437406440168256
274,EX_co2_e,0.0,0.0,,0.016484585161628207,25.228468479604746,,-0.7874047186932849,-7.081172033473546
275,EX_co2_e,0.0,0.0,,0.01648458516162832,25.22846847960492,,-0.7874047186932849,-6.7249376267788366
276,EX_co2_e,0.0,0.0,,0.015594498072758924,23.866254396237203,,-0.7874047186932849,-6.368703220084127
277,EX_co2_e,0.0,0.0,,0.0023105931384788257,3.5361961245463616,,-0.7874047186932849,-6.012468813389417
278,EX_co2_e,,,,,,,-0.7874047186932849,-5.656234406694708
279,EX_co2_e,,,,,,,-0.7874047186932849,-5.299999999999998
280,EX_co2_e,,,,,,,-0.6561705989110707,-12.06845372719948
281,EX_co2_e,,,,,,,-0.6561705989110707,-11.71221932050477
282,EX_co2_e,,,,,,,-0.6561705989110707,-11.35598491381006
283,EX_co2_e,,,,,,,-0.6561705989110707,-10.999750507115351
284,EX_co2_e,0.0,2.69009851911587e-28,,0.01373715430135649,25.22846847960412,,-0.6561705989110707,-10.64351610042064
285,EX_co2_e,0.0,0.0,,0.013737154301355171,25.228468479601723,,-0.6561705989110707,-10.287281693725932
286,EX_co2_e,0.0,0.0,,0.013737154301356967,25.22846847960501,,-0.6561705989110707,-9.931047287031223
