,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_h2_e,EX_o2_e
273,EX_co2_e,0.0,0.0,,0.021177314947324898,9.374135826356492,,-31.687738192492247,-15.843869096246117
274,EX_co2_e,0.0,7.66444920676372e-16,,0.04193673003567306,9.374135826356712,,-31.687738192492247,-14.086557580205099
275,EX_co2_e,,,,,,,-31.687738192492247,-12.329246064164078
276,EX_co2_e,,,,,,,-31.687738192492247,-10.571934548123057
277,EX_co2_e,,,,,,,-31.687738192492247,-8.814623032082036
278,EX_co2_e,,,,,,,-31.687738192492247,-7.057311516041015
279,EX_co2_e,,,,,,,-31.687738192492247,-5.299999999999999
280,EX_co2_e,,,,,,,-28.173115160410205,-38.688918804779384
281,EX_co2_e,,,,,,,-28.173115160410205,-36.93160728873836
282,EX_co2_e,,,,,,,-28.173115160410205,-35.17429577269734
283,EX_co2_e,,,,,,,-28.173115160410205,-33.41698425665632
284,EX_co2_e,,,,,,,-28.173115160410205,-31.659672740615303
285,EX_co2_e,,,,,,,-28.173115160410205,-29.902361224574282
286,EX_co2_e,,,,,,,-28.173115160410205,-28.14504970853326
287,EX_co2_e,,,,,,,-28.173115160410205,-26.387738192492243
288,EX_co2_e,,,,,,,-28.173115160410205,-24.630426676451222
289,EX_co2_e,,,,,,,-28.173115160410205,-22.8731151604102
290,EX_co2_e,,,,,,,-28.173115160410205,-21.11580364436918
291,EX_co2_e,,,,,,,-28.173115160410205,-19.35849212832816
292,EX_co2_e,,,,,,,-28.173115160410205,-17.601180612287138
293,EX_co2_e,0.0,,,0.00018720015538624952,9.374135826556016,,-28.173115160410205,-15.843869096246117
294,EX_co2_e,0.0,,,0.021920672140582534,9.374135826356305,,-28.173115160410205,-14.086557580205099
295,EX_co2_e,0.0,1.802855448768899e-27,,0.042814351790648714,9.374135826355836,,-28.173115160410205,-12.329246064164078
296,EX_co2_e,0.0,2.915671702034832e-28,,0.01168745293224535,1.932968928917191,,-28.173115160410205,-10.571934548123057
297,EX_co2_e,,,,,,,-28.173115160410205,-8.814623032082036
298,EX_co2_e,,,,,,,-28.173115160410205,-7.057311516041015
299,EX_co2_e,,,,,,,-28.173115160410205,-5.299999999999999
300,EX_co2_e,,,,,,,-24.658492128328163,-38.688918804779384
301,EX_co2_e,,,,,,,-24.658492128328163,-36.93160728873836
302,EX_co2_e,,,,,,,-24.658492128328163,-35.17429577269734
303,EX_co2_e,,,,,,,-24.658492128328163,-33.41698425665632
304,EX_co2_e,,,,,,,-24.658492128328163,-31.659672740615303
305,EX_co2_e,,,,,,,-24.658492128328163,-29.902361224574282
306,EX_co2_e,,,,,,,-24.658492128328163,-28.14504970853326
307,EX_co2_e,,,,,,,-24.658492128328163,-26.387738192492243
308,EX_co2_e,,,,,,,-24.658492128328163,-24.630426676451222
309,EX_co2_e,,,,,,,-24.658492128328163,-22.8731151604102
310,EX_co2_e,,,,,,,-24.658492128328163,-21.11580364436918
311,EX_co2_e,,,,,,,-24.658492128328163,-19.35849212832816
312,EX_co2_e,,,,,,,-24.658492128328163,-17.601180612287138
313,EX_co2_e,,,,,,,-24.658492128328163,-15.843869096246117
314,EX_co2_e,,,,,,,-24.658492128328163,-14.086557580205099
315,EX_co2_e,0.0,,,0.021664023117259644,9.37413582635678,,-24.658492128328163,-12.329246064164078
316,EX_co2_e,0.0,4.149129090870032e-14,,0.04339749668516293,9.374135826356008,,-24.658492128328163,-10.571934548123057
317,EX_co2_e,0.0,0.0,,0.02623493910199826,4.111017376747632,,-24.658492128328163,-8.814623032082036
318,EX_co2_e,,,,,,,-24.658492128328163,-7.057311516041015
319,EX_co2_e,,,,,,,-24.658492128328163,-5.299999999999999
320,EX_co2_e,,,,,,,-21.14386909624612,-38.688918804779384
321,EX_co2_e,,,,,,,-21.14386909624612,-36.93160728873836
322,EX_co2_e,,,,,,,-21.14386909624612,-35.17429577269734
