,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_co2_e,EX_o2_e
191,EX_co2_e,0.0,0.0,,0.02340853018113816,9.374135826354747,,-1.118134726569269,-7.93268698060939
192,EX_co2_e,0.0,0.0,,0.023408530181137983,9.374135826354681,,-1.118134726569269,-7.6036011080332155
193,EX_co2_e,0.0,0.0,,0.02340853018113796,9.374135826354673,,-1.118134726569269,-7.2745152354570415
194,EX_co2_e,0.0,0.0,,0.023408530181138625,9.37413582635493,,-1.118134726569269,-6.945429362880868
195,EX_co2_e,0.0,0.0,,0.02340853018113827,9.374135826354788,,-1.118134726569269,-6.616343490304694
196,EX_co2_e,0.0,0.0,,0.012150934077984536,4.865940133049882,,-1.118134726569269,-6.28725761772852
197,EX_co2_e,,,,,,,-1.118134726569269,-5.958171745152346
198,EX_co2_e,,,,,,,-1.118134726569269,-5.629085872576172
199,EX_co2_e,,,,,,,-1.118134726569269,-5.299999999999999
200,EX_co2_e,,,,,,,-1.006321253912342,-11.552631578947302
201,EX_co2_e,,,,,,,-1.006321253912342,-11.223545706371128
202,EX_co2_e,,,,,,,-1.006321253912342,-10.894459833794954
203,EX_co2_e,,,,,,,-1.006321253912342,-10.56537396121878
204,EX_co2_e,,,,,,,-1.006321253912342,-10.236288088642606
205,EX_co2_e,,,,,,,-1.006321253912342,-9.907202216066434
206,EX_co2_e,0.017297392750116967,7.696534735494463,,0.021067677163027806,9.374135826356287,,-1.006321253912342,-9.578116343490258
207,EX_co2_e,0.0,4.860995719855036e-27,,0.02106767716301986,9.374135826352752,,-1.006321253912342,-9.249030470914086
208,EX_co2_e,0.0,0.0,,0.02106767716301969,9.374135826352678,,-1.006321253912342,-8.919944598337912
209,EX_co2_e,0.0,0.0,,0.0210676771630203,9.374135826352946,,-1.006321253912342,-8.590858725761738
210,EX_co2_e,0.0,0.0,,0.02106767716302183,9.374135826353626,,-1.006321253912342,-8.261772853185564
211,EX_co2_e,0.0,0.0,,0.021067677163021027,9.374135826353267,,-1.006321253912342,-7.93268698060939
212,EX_co2_e,0.0,0.0,,0.021067677163021784,9.374135826353607,,-1.006321253912342,-7.6036011080332155
213,EX_co2_e,0.0,0.0,,0.02106767716302231,9.37413582635384,,-1.006321253912342,-7.2745152354570415
214,EX_co2_e,0.0,0.0,,0.021067677163021846,9.374135826353633,,-1.006321253912342,-6.945429362880868
215,EX_co2_e,0.0,0.0,,0.02106767716302285,9.374135826354086,,-1.006321253912342,-6.616343490304694
216,EX_co2_e,0.0,0.0,,0.019818994230813024,8.81853003649844,,-1.006321253912342,-6.28725761772852
217,EX_co2_e,,,,,,,-1.006321253912342,-5.958171745152346
218,EX_co2_e,,,,,,,-1.006321253912342,-5.629085872576172
219,EX_co2_e,,,,,,,-1.006321253912342,-5.299999999999999
220,EX_co2_e,,,,,,,-0.8945077812554152,-11.552631578947302
221,EX_co2_e,,,,,,,-0.8945077812554152,-11.223545706371128
222,EX_co2_e,,,,,,,-0.8945077812554152,-10.894459833794954
223,EX_co2_e,,,,,,,-0.8945077812554152,-10.56537396121878
224,EX_co2_e,,,,,,,-0.8945077812554152,-10.236288088642606
225,EX_co2_e,,,,,,,-0.8945077812554152,-9.907202216066434
226,EX_co2_e,0.0,9.09499803400896e-28,,0.018726824144908803,9.374135826353879,,-0.8945077812554152,-9.578116343490258
227,EX_co2_e,0.0,0.0,,0.01872682414491373,9.374135826356351,,-0.8945077812554152,-9.249030470914086
228,EX_co2_e,0.0,0.0,,0.01872682414491282,9.374135826355893,,-0.8945077812554152,-8.919944598337912
229,EX_co2_e,0.0,0.0,,0.018726824144912894,9.37413582635593,,-0.8945077812554152,-8.590858725761738
230,EX_co2_e,0.0,2.123778400670732e-28,,0.018726824144909778,9.37413582635437,,-0.8945077812554152,-8.261772853185564
231,EX_co2_e,0.0,0.0,,0.018726824144909504,9.37413582635423,,-0.8945077812554152,-7.93268698060939
232,EX_co2_e,0.0,0.0,,0.018726824144905375,9.374135826352168,,-0.8945077812554152,-7.6036011080332155
233,EX_co2_e,0.0,0.0,,0.018726824144907173,9.374135826353069,,-0.8945077812554152,-7.2745152354570415
234,EX_co2_e,0.0,0.0,,0.018726824144910968,9.374135826354967,,-0.8945077812554152,-6.945429362880868
235,EX_co2_e,0.0,0.0,,0.018726824144912686,9.374135826355827,,-0.8945077812554152,-6.616343490304694
236,EX_co2_e,0.0,0.0,,0.01872682414490847,9.374135826353712,,-0.8945077812554152,-6.28725761772852
237,EX_co2_e,,,,,,,-0.8945077812554152,-5.958171745152346
238,EX_co2_e,,,,,,,-0.8945077812554152,-5.629085872576172
239,EX_co2_e,,,,,,,-0.8945077812554152,-5.299999999999999
240,EX_co2_e,,,,,,,-0.7826943085984883,-11.552631578947302
241,EX_co2_e,,,,,,,-0.7826943085984883,-11.223545706371128
242,EX_co2_e,,,,,,,-0.7826943085984883,-10.894459833794954
243,EX_co2_e,,,,,,,-0.7826943085984883,-10.56537396121878
244,EX_co2_e,,,,,,,-0.7826943085984883,-10.236288088642606
245,EX_co2_e,0.0,1.3639529599466624e-12,,0.016385971126801423,9.374135826357445,,-0.7826943085984883,-9.907202216066434
246,EX_co2_e,0.0,0.0,,0.016385971126800746,9.374135826357055,,-0.7826943085984883,-9.578116343490258
247,EX_co2_e,0.0,0.0,,0.01638597112680091,9.37413582635715,,-0.7826943085984883,-9.249030470914086
248,EX_co2_e,0.0,0.0,,0.016385971126800715,9.374135826357037,,-0.7826943085984883,-8.919944598337912
