id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd08353_c0	(E)-3-(Methoxycarbonyl)pent-2-enedioate [c0]	C7H6O6	-2	BRYKYSQCLNCYQW-DUXPYHPUSA-L	COC(=O)C(=CC(=O)[O-])CC(=O)[O-]	-218.13	C11514	cpd08353
cpd00668_c0	ALCTT [c0]	C5H7O4	-1	NMDWGEGFJUBKLB-YFKPBYRVSA-M	CC(=O)C(C)(O)C(=O)[O-]	-153.18	C00900	cpd00668
cpd11562_c0	12-methyl-3-oxo-tridecanoyl-ACP [c0]	C25H45N2O9PRS	-1					cpd11562
cpd11563_c0	12-methyl-3-hydroxy-tridecanoyl-ACP [c0]	C25H47N2O9PRS	-1					cpd11563
cpd02182_c0	(R)-S-Lactoylglutathione [c0]	C13H20N3O8S	-1	VDYDCVUWILIYQF-UHFFFAOYSA-M	CC(O)C(=O)SCC(N=C([O-])CCC(N)C(=O)O)C(O)=NCC(=O)O	-291.21	C03451	cpd02182
cpd02720_c0	5-Amino-6--5-phosphoribitylaminouracil [c0]	C9H15N4O9P	-2	RQRINYISXYAZKL-RPDRRWSUSA-L	Nc1c([O-])nc([O-])nc1NCC(O)C(O)C(O)COP(=O)(O)O	-402.07	C04454	cpd02720
cpd11581_c0	gly-asn-L [c0]	C6H11N3O4	0			-153.89		cpd11581
cpd15347_c0	2-Acyl-sn-glycero-3-phosphoglycerol hexadec-9-enoyl [c0]	C22H42O9P	-1			-375.77		cpd15347
cpd15274_c0	Octadecenoyl-CoA [c0]	C39H65N7O17P3S	-3			-739.1		cpd15274
cpd11524_c0	5-methyl-hexanoyl-ACP [c0]	C18H33N2O8PRS	-1					cpd11524
cpd00039_e0	L-Lysine [e0]	C6H15N2O2	1	KDXKERNSBIXSRK-YFKPBYRVSA-O	NC(CCCC[NH3+])C(=O)O	-84.04	C00047	cpd00039
cpd00919_c0	Homocitrate [c0]	C7H7O7	-3	XKJVEVRQMLKSMO-SSDOTTSWSA-K	O=C([O-])CCC(O)(CC(=O)[O-])C(=O)[O-]	-278.82	C01251	cpd00919
cpd00121_e0	L-Inositol [e0]	C6H12O6	0	CDAISMWEOUEBRE-GPIVLXJGSA-N	OC1C(O)C(O)C(O)C(O)C1O	-219.96	C00137	cpd00121
cpd15546_c0	Phosphatidylglycerophosphate dihexadec-9-enoyl [c0]	C38H70O13P2	-2			-580.68		cpd15546
cpd06227_c0	THF-L-glutamate [c0]	C24H27N8O9	-3	ZAOGJXDWOQXFBW-KKUMJFAQSA-K	N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC([O-])=NC(CCC(=O)[O-])C(=O)O)C(=O)O)cc1)N2	-220.95	C03541	cpd06227
cpd03445_c0	2-Octaprenyl-6-hydroxyphenol [c0]	C46H70O2	0	YNPGYMZVNLIZLD-BQFKTQOQSA-N	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O	172.09	C05811	cpd03445
cpd03446_c0	2-Octaprenyl-6-methoxyphenol [c0]	C47H72O2	0	MARGKPIMNMASKJ-CMAXTTDKSA-N	COc1cccc(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O	186.74	C05812	cpd03446
cpd03606_c0	2-Oxo-3-hydroxy-4-phosphobutanoate [c0]	C4H4O8P	-3	MZJFVXDTNBHTKZ-UHFFFAOYSA-K	O=C([O-])C(=O)C(O)COP(=O)([O-])[O-]	-397.84	C06054	cpd03606
cpd03105_c0	Acetol [c0]	C3H6O2	0	XLSMFKSTNGKWQX-UHFFFAOYSA-N	CC(=O)CO	-71.93	C05235	cpd03105
cpd01861_c0	(R)-1,2-Propanediol [c0]	C3H8O2	0	DNIAPMSPPWPWGF-GSVOUGTGSA-N	CC(O)CO	-79.95	C02912	cpd01861
cpd00128_e0	Adenine [e0]	C5H5N5	0	GFFGJBXGBJISGV-UHFFFAOYSA-N	Nc1nc[nH]c2ncnc1-2	78.85	C00147	cpd00128
cpd17568_c0	ditrans,hexacis-Nonaprenyl diphosphate [c0]	C45H76O7P2	0	IVLBHBFTRNVIAP-HUIBRQQWSA-L	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)([O-])[O-]	-214.46	C17438	cpd17568
cpd22027_c0	3-Ketoglutaryl-ACP-methyl-ester [c0]	C20H32N3O12PR2S	0					cpd22027
cpd22022_c0	3-Hydroxyglutaryl-ACP-methyl-ester [c0]	C20H34N3O12PR2S	0					cpd22022
cpd36025_c0	(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate [c0]	C10H12N5O14P3	-4					cpd36025
cpd19505_c0	Precursor Z [c0]	C10H13N5O8P	-1	PWFXLXMPGSLEOZ-QQVWSJFJSA-M	N=c1nc([O-])c2c([nH]1)NC1OC3COP(=O)(O)OC3C(=O)C1N2	-255.82	C18239	cpd19505
cpd28259_c0	Thiocarboxyadenylated-ThiS-Proteins [c0]	C4H7N2O2RS	0					cpd28259
cpd21479_c0	2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate [c0]	C7H7NO6PS	-3	PQMCQNOVNFNPFJ-DJWKRKHSSA-K	CC1=NC(C(=O)[O-])SC1=CCOP(=O)([O-])[O-]	-278.09	C20246	cpd21479
cpd28253_c0	Thi-S [c0]	C4H7N2O3R	0					cpd28253
cpd00149_c0	Co2+ [c0]	Co	2	XLJKHNWPARRRJB-UHFFFAOYSA-N	[Co+2]		C00175	cpd00149
cpd03914_c0	Cob(II)yrinate diamide [c0]	C45H59CoN6O12	-1	JQARVYOVXRGEQC-OKJGWHJPSA-H	CC1=C2N=C(C=C3N=C(C(C)=C4NC(C)(C5N=C1C(C)(CCC(=O)[O-])C5CC(=O)O)C(C)(CC(=N)[O-])C4CCC(=O)[O-])C(C)(CC([NH-])=O)C3CCC(=O)[O-])C(C)(C)C2CCC(=O)[O-].[Co+5]		C06504	cpd03914
cpd28070_c0	Reduced-Flavoproteins [c0]	C12H11N4O2R	0					cpd28070
cpd33817_c0	Cbi(II) [c0]	C48H73CoN11O8	2					cpd33817
cpd27744_c0	Oxidized-Flavoproteins [c0]	C12H9N4O2R	0					cpd27744
