pi_flux(mmol/gdw/h),Growth Rate(h-1),pi_rate(g/l/h)
0.00689,0.021663743,0.015861282
0.00688,0.0216323,0.015838261
0.00687,0.021600858,0.01581524
0.00686,0.021569416,0.015792219
0.00685,0.021537973,0.015769199
0.00684,0.021506531,0.015746178
0.00683,0.021475089,0.015723157
0.00682,0.021443647,0.015700136
0.00681,0.021412204,0.015677116
0.0068,0.021380762,0.015654095
0.00679,0.02134932,0.015631074
0.00678,0.021317877,0.015608054
0.00677,0.021286435,0.015585033
0.00676,0.021254993,0.015562012
0.00675,0.02122355,0.015538991
0.00674,0.021192108,0.015515971
0.00673,0.021160666,0.01549295
0.00672,0.021129224,0.015469929
0.00671,0.021097781,0.015446908
0.0067,0.021066339,0.015423888
0.00669,0.021034897,0.015400867
0.00668,0.021003454,0.015377846
0.00667,0.020972012,0.015354826
0.00666,0.02094057,0.015331805
0.00665,0.020909127,0.015308784
0.00664,0.020877685,0.015285763
0.00663,0.020846243,0.015262743
0.00662,0.020814801,0.015239722
0.00661,0.020783358,0.015216701
0.0066,0.020751916,0.01519368
0.00659,0.020720474,0.01517066
0.00658,0.020689031,0.015147639
0.00657,0.020657589,0.015124618
0.00656,0.020626147,0.015101598
0.00655,0.020594705,0.015078577
0.00654,0.020563262,0.015055556
0.00653,0.02053182,0.015032535
0.00652,0.020500378,0.015009515
0.00651,0.020468935,0.014986494
0.0065,0.020437493,0.014963473
0.00649,0.020406051,0.014940452
0.00648,0.020374608,0.014917432
0.00647,0.020343166,0.014894411
0.00646,0.020311724,0.01487139
0.00645,0.020280282,0.01484837
0.00644,0.020248839,0.014825349
0.00643,0.020217397,0.014802328
0.00642,0.020185955,0.014779307
0.00641,0.020154512,0.014756287
0.0064,0.02012307,0.014733266
0.00639,0.020091628,0.014710245
0.00638,0.020060185,0.014687224
0.00637,0.020028743,0.014664204
0.00636,0.019997301,0.014641183
0.00635,0.019965859,0.014618162
0.00634,0.019934416,0.014595142
0.00633,0.019902974,0.014572121
0.00632,0.019871532,0.0145491
0.00631,0.019840089,0.014526079
0.0063,0.019808647,0.014503059
0.00629,0.019777205,0.014480038
0.00628,0.019745763,0.014457017
0.00627,0.01971432,0.014433996
0.00626,0.019682878,0.014410976
0.00625,0.019651436,0.014387955
0.00624,0.019619993,0.014364934
0.00623,0.019588551,0.014341914
0.00622,0.019557109,0.014318893
0.00621,0.019525666,0.014295872
0.0062,0.019494224,0.014272851
0.00619,0.019462782,0.014249831
0.00618,0.01943134,0.01422681
0.00617,0.019399897,0.014203789
0.00616,0.019368455,0.014180768
0.00615,0.019337013,0.014157748
0.00614,0.01930557,0.014134727
0.00613,0.019274128,0.014111706
0.00612,0.019242686,0.014088686
0.00611,0.019211243,0.014065665
0.0061,0.019179801,0.014042644
0.00609,0.019148359,0.014019623
0.00608,0.019116917,0.013996603
0.00607,0.019085474,0.013973582
0.00606,0.019054032,0.013950561
0.00605,0.01902259,0.01392754
0.00604,0.018991147,0.01390452
0.00603,0.018959705,0.013881499
0.00602,0.018928263,0.013858478
0.00601,0.01889682,0.013835458
0.006,0.018865378,0.013812437
0.00599,0.018833936,0.013789416
0.00598,0.018802494,0.013766395
0.00597,0.018771051,0.013743375
0.00596,0.018739609,0.013720354
0.00595,0.018708167,0.013697333
0.00594,0.018676724,0.013674312
0.00593,0.018645282,0.013651292
0.00592,0.01861384,0.013628271
0.00591,0.018582398,0.01360525
0.0059,0.018550955,0.01358223
0.00589,0.018519513,0.013559209
